agent_id,time,user_id,round,ExpectedQvalue
0,0.5,2,1,44.884615
0,1.0,2,1,124.153846
0,1.5,2,1,47.923077
0,2.0,2,1,108.5
0,2.5,2,1,27.846154
0,3.0,2,1,40.115385
0,3.5,2,1,93.192308
0,4.0,2,1,71.807692
0,4.5,2,1,101.230769
0,5.0,2,1,104.653846
0,5.5,2,1,79.307692
0,6.0,2,1,68.269231
0,6.5,2,1,86.0
0,7.0,2,1,70.576923
0,7.5,2,1,91.769231
0,8.0,2,1,100.923077
0,8.5,2,1,71.038462
0,9.0,2,1,56.923077
0,9.5,2,1,74.576923
0,10.0,2,1,67.923077
0,10.5,2,1,83.961538
0,11.0,2,1,86.538462
0,11.5,2,1,87.730769
0,12.0,2,1,61.115385
0,12.5,2,1,80.153846
0,13.0,2,1,70.230769
0,13.5,2,1,74.538462
0,14.0,2,1,114.307692
0,14.5,2,1,49.576923
0,15.0,2,1,28.653846
0,15.5,2,1,57.0
0,16.0,2,1,45.846154
0,16.5,2,1,134.038462
0,17.0,2,1,52.192308
0,17.5,2,1,73.384615
0,18.0,2,1,87.115385
0,18.5,2,1,38.615385
0,19.0,2,1,36.0
0,19.5,2,1,87.807692
0,20.0,2,1,44.884615
0,20.5,2,1,23.653846
0,21.0,2,1,44.461538
0,21.5,2,1,120.0
0,22.0,2,1,64.038462
0,22.5,2,1,88.269231
0,23.0,2,1,64.461538
0,23.5,2,1,27.269231
0,24.0,2,1,36.0
0,24.5,2,1,41.769231
0,25.0,2,1,52.846154
0,25.5,2,1,75.615385
0,26.0,2,1,51.423077
0,26.5,2,1,101.038462
0,27.0,2,1,34.961538
0,27.5,2,1,38.038462
0,28.0,2,1,44.846154
0,28.5,2,1,57.615385
0,29.0,2,1,64.0
0,29.5,2,1,79.5
0,30.0,2,1,40.076923
0,30.5,2,1,106.961538
0,31.0,2,1,113.961538
0,31.5,2,1,56.576923
0,32.0,2,1,67.730769
0,32.5,2,1,77.346154
0,33.0,2,1,41.692308
0,33.5,2,1,49.115385
0,34.0,2,1,45.5
0,34.5,2,1,74.653846
0,35.0,2,1,78.884615
0,35.5,2,1,58.923077
0,36.0,2,1,31.384615
0,36.5,2,1,37.153846
0,37.0,2,1,38.653846
0,37.5,2,1,22.192308
