agent_id,time,user_id,round,ExpectedQvalue
0,0.5,1,1,23.423077
0,1.0,1,1,80.192308
0,1.5,1,1,84.576923
0,2.0,1,1,69.346154
0,2.5,1,1,46.615385
0,3.0,1,1,17.192308
0,3.5,1,1,42.461538
0,4.0,1,1,107.076923
0,4.5,1,1,78.269231
0,5.0,1,1,57.884615
0,5.5,1,1,58.153846
0,6.0,1,1,44.5
0,6.5,1,1,28.961538
0,7.0,1,1,51.769231
0,7.5,1,1,106.230769
0,8.0,1,1,20.230769
0,8.5,1,1,86.807692
0,9.0,1,1,75.730769
0,9.5,1,1,66.846154
0,10.0,1,1,103.230769
0,10.5,1,1,11.846154
0,11.0,1,1,19.423077
0,11.5,1,1,59.923077
0,12.0,1,1,59.423077
0,12.5,1,1,33.5
0,13.0,1,1,65.5
0,13.5,1,1,93.769231
0,14.0,1,1,74.038462
0,14.5,1,1,95.576923
0,15.0,1,1,49.576923
0,15.5,1,1,75.423077
0,16.0,1,1,54.576923
0,16.5,1,1,99.192308
0,17.0,1,1,94.807692
0,17.5,1,1,122.115385
0,18.0,1,1,96.538462
0,18.5,1,1,58.884615
0,19.0,1,1,63.461538
0,19.5,1,1,100.807692
0,20.0,1,1,12.692308
0,20.5,1,1,41.769231
0,21.0,1,1,84.730769
0,21.5,1,1,60.423077
0,22.0,1,1,25.653846
0,22.5,1,1,78.769231
0,23.0,1,1,85.346154
0,23.5,1,1,44.384615
0,24.0,1,1,50.384615
0,24.5,1,1,58.5
0,25.0,1,1,50.461538
0,25.5,1,1,76.192308
0,26.0,1,1,141.653846
0,26.5,1,1,84.5
0,27.0,1,1,133.807692
0,27.5,1,1,42.884615
0,28.0,1,1,73.769231
0,28.5,1,1,89.0
0,29.0,1,1,83.538462
0,29.5,1,1,125.461538
0,30.0,1,1,86.384615
0,30.5,1,1,36.961538
0,31.0,1,1,139.884615
0,31.5,1,1,77.0
0,32.0,1,1,77.730769
0,32.5,1,1,91.576923
0,33.0,1,1,87.038462
0,33.5,1,1,76.153846
0,34.0,1,1,106.653846
0,34.5,1,1,55.423077
0,35.0,1,1,68.153846
